📚 Academic Operations,📚 العمليات الأكاديمية,
🧑‍🏫 People and Communication,🧑‍🏫 الأفراد والتواصل,
Actions,إجراءات,
admin,إداري,
Create Payment,إنشاء دفعة,
EIMS Activity Participant,مشارك في نشاط مدرسي,
EIMS Academic Year,السنة الدراسية,
EIMS Assessment,تقييم,
EIMS Assessment Grade,درجة تقييم,
EIMS Disciplinary Action,إجراء تأديبي,
EIMS Enrollment,تسجيل طالب,
EIMS Guardian,ولي أمر,
EIMS Guardian Student,طالب ولي الأمر,
EIMS Institution,بيانات المؤسسة,
EIMS Nationality,الجنسية,
EIMS Request,طلب,
EIMS Request Reply,رد على طلب,
EIMS Result,نتيجة طالب,
EIMS Result Subject,مادة النتيجة,
EIMS School Activity,نشاط مدرسي,
EIMS Section,فصل دراسي,
EIMS Stage,مرحلة دراسية,
EIMS Stage Fee,رسوم المرحلة,
EIMS Staff,عضو الكادر,
EIMS Staff Attendance,حضور الكادر,
EIMS Staff Attendance Row,سجل حضور الكادر,
EIMS Student,طالب,
EIMS Student Attendance,حضور الطلبة,
EIMS Student Attendance Row,سجل حضور الطالب,
EIMS Student Payment,دفعة طالب,
EIMS Student Previous Record,السجل الدراسي السابق للطالب,
EIMS Subject,مادة دراسية,
EIMS Timetable,جدول دراسي,
EIMS Timetable Slot,حصة دراسية,
EIMS Teacher Assignment,تكليف معلم,
employee,موظف,
female,أنثى,
kindergarten,رياض الأطفال,
male,ذكر,
Name (EN),الاسم باللغة الإنجليزية,
Nationality (EN),الجنسية باللغة الإنجليزية,
Payment amount must be greater than zero.,يجب أن يكون مبلغ الدفعة أكبر من صفر.,
Payments can only be recorded for a draft or enrolled student.,لا يمكن تسجيل الدفعات إلا لطالب مسودته أو تسجيله نشط.,
preparatory,الإعدادية,
primary,الابتدائية,
Select a valid requester for the selected role.,اختر مقدم طلب صحيحاً للدور المحدد.,
Select the Enrollment this payment is for.,اختر تسجيل الطالب الذي تخصه هذه الدفعة.,
"Select whether the request was raised by a student, guardian, or teacher.",حدد ما إذا كان مقدم الطلب طالباً أو ولي أمر أو معلماً.,
Student {0} does not have an active enrollment in the selected Academic Year.,الطالب {0} ليس لديه تسجيل نشط في السنة الدراسية المحددة.,
Student {0} does not have an active enrollment in the selected Academic Year and section.,الطالب {0} ليس لديه تسجيل نشط في السنة الدراسية والفصل المحددين.,
teacher,معلم,
Teacher,المعلم,
Teacher Name,اسم المعلم,
Term,الفترة الدراسية,
Title (EN),المسمى الوظيفي باللغة الإنجليزية,
A reason is required to enroll a student before all fees have been paid.,يجب إدخال سبب لتسجيل الطالب قبل سداد الرسوم بالكامل.,
Accomplishment,الإنجاز اليومي,
Action Date,تاريخ الإجراء,
Action Type,نوع الإجراء,
Activity Date,تاريخ النشاط,
Activity Name,اسم النشاط,
Activity Type,نوع النشاط,
Address,العنوان,
Alternative Guardian Phone,هاتف ولي أمر بديل,
Amount Paid,المبلغ المدفوع,
Assigned To,مسند إلى,
Attachment,المرفق,
Attendance,الحضور,
Attendance Date,تاريخ الحضور,
Category,الفئة,
Check In,وقت الحضور,
Check Out,وقت الانصراف,
Children,الأبناء,
City,المدينة,
Country,الدولة,
Coursework,أعمال السنة,
Credential Type,نوع المؤهل,
Credentials,المؤهلات,
Date Of Birth,تاريخ الميلاد,
Day,اليوم,
Description,الوصف,
Details,التفاصيل,
Email,البريد الإلكتروني,
Enrollment,التسجيل,
Enrollment Date,تاريخ التسجيل,
Enrollment Number,رقم القيد,
Exam,الامتحان,
Fee Amount,قيمة الرسوم,
Final Total,المجموع النهائي,
Gender,الجنس,
Grade,التقدير,
Grades,الدرجات,
Grand Total,المجموع العام,
Guardian Consent,موافقة ولي الأمر,
Guardian Document,وثيقة ولي الأمر,
Guardian Name,اسم ولي الأمر,
Guardian Phone,هاتف ولي الأمر,
Guardian User,حساب ولي الأمر,
Hijri Year,السنة الهجرية,
Hire Date,تاريخ المباشرة,
Hired Year,سنة التعيين,
Homework,الواجب المنزلي,
Image,الصورة,
Institution,المؤسسة التعليمية,
Institution Name,اسم المؤسسة,
Issue Date,تاريخ الإصدار,
Issuer,الجهة المانحة,
Location,المكان,
Log Date,تاريخ اليوم الدراسي,
Logo,الشعار,
Make-up Exam,الدور الثاني,
Max Mark,النهاية العظمى,
Max Total,النهاية العظمى,
Message,الرد,
Min Mark,النهاية الصغرى,
National Id,الرقم الوطني,
Nationality,الجنسية,
Nationality Name,الجنسية,
Occupation,المهنة,
Outstanding Amount,المبلغ المتبقي,
Overall Grade,التقدير العام,
Overall Rank,الترتيب العام,
Participants,المشاركون,
Pass Percentage,النسبة المئوية,
Passport Number,رقم الجواز,
Payment Date,تاريخ الدفع,
Payment Status,حالة السداد,
Period,الحصة,
Phone,الهاتف,
Place Of Birth,مكان الميلاد,
Previous Academic Record,السجل الدراسي السابق,
Previous Records,السجلات الدراسية السابقة,
Previous School,المدرسة السابقة,
Priority,الأولوية,
Qualification,المؤهل العلمي,
Qualifications and Certificates,المؤهلات والشهادات,
Raised By Role,نوع مقدم الطلب,
Reason for Early Enrollment,سبب التسجيل قبل سداد الرسوم بالكامل,
Relation,صلة القرابة,
Reply By,بواسطة,
Reply Date,تاريخ الرد,
Request Type,نوع الطلب,
Requester User,حساب مقدم الطلب,
Requires Consent,تتطلب موافقة ولي الأمر,
Result / Grade,النتيجة والتقدير,
Room,القاعة,
Rows,بيانات الحضور,
Seat Number,رقم الجلوس,
Second Phone,هاتف بديل,
Secret Number,الرقم السري,
Section Break R2,الطلب,
Section Break R3,الردود,
Short Name,الاسم المختصر,
Slots,الحصص,
Staff,عضو الكادر,
Student Full Name,اسم الطالب,
Subject Code,رمز المادة,
Subject Results,نتائج المواد,
Subject Type,نوع المادة,
Summons Date,تاريخ استدعاء ولي الأمر,
Supervisor,المشرف,
Suspension Days,عدد أيام الإيقاف,
Suspension From,بداية الإيقاف,
Suspension To,نهاية الإيقاف,
Term 1 Total,مجموع الفصل الأول,
Term 2 Total,مجموع الفصل الثاني,
Title (AR),المسمى الوظيفي,
Total Fee,إجمالي الرسوم,
Total Paid,إجمالي المدفوع,
Total Score,المجموع الكلي,
Totals,المجاميع,
User Id,حساب المستخدم,
Yearly Total,مجموع العام,
Assembly Date,تاريخ الطابور الصباحي,
Program,البرنامج,
From Stage,من المرحلة,
To Stage,إلى المرحلة,
Direction,نوع المراسلة,
Outgoing,صادر,
Incoming,وارد,
Reference Number,رقم المرجع,
Recipient / Sender,الجهة المراسِلة,
Content,المحتوى,
Signed Consent,الموافقة الموقعة,
Decision,القرار,
Pending,قيد الانتظار,
Approved,موافق عليه,
Rejected,مرفوض,
Lesson Periods,حصص الدروس,
Lessons,الدروس,
Lesson Title,عنوان الدرس,
Lesson Number,رقم الدرس,
Book Page,صفحة الكتاب,
Student Participation,مشاركة الطلبة,
Has Health Condition,لديه حالة صحية,
Health or Psychological Condition,الحالة الصحية أو النفسية,
Emergency Contact,جهة الاتصال في حالات الطوارئ,
Emergency Phone,هاتف الطوارئ,
Confidential Notes,ملاحظات سرية,
Education Level,المستوى التعليمي,
Workplace,مكان العمل,
Preferred Contact Method,وسيلة التواصل المفضلة,
School Diary,كراسة المتابعة,
Student Welfare and Records,رعاية وسجلات الطلبة,
Student Health Profiles,الملفات الصحية للطلبة,
Activity Consents,موافقات الأنشطة,
School Operations and Correspondence,عمليات المدرسة والمراسلات,
Morning Assemblies,الطابور الصباحي,
Official Correspondence,المراسلات الرسمية,
Staff Name (AR),اسم عضو الكادر,
Stage Name (AR),اسم المرحلة,
Section Name (AR),اسم الفصل,
Timetable Title,عنوان الجدول,
Credential Title,اسم المؤهل أو الشهادة,
Request Subject,موضوع الطلب,
Correspondence Subject,موضوع المراسلة,
School Activity,النشاط المدرسي,
Guardian,ولي الأمر,
Decision Date,تاريخ القرار,
Assessment,التقييم,
Raised By,مقدم الطلب,
Replies,الردود,
EIMS Activity Consent,موافقة نشاط,
EIMS Daily Accomplishment,الإنجاز اليومي,
EIMS Daily Lesson,درس يومي,
EIMS Morning Assembly,الطابور الصباحي,
EIMS Official Correspondence,مراسلة رسمية,
EIMS Staff Credential,مؤهل عضو الكادر,
EIMS Student Health Profile,الملف الصحي للطالب,
Curriculum Validity Period,فترة سريان المنهج,
Consent Decision,قرار الموافقة,
Accomplishment Details,تفاصيل الإنجاز,
Summons and Suspension,الاستدعاء والإيقاف,
Enrollment Note,ملاحظة التسجيل,
Guardian Work and Education,عمل ولي الأمر ومؤهله,
Institution Contact,بيانات التواصل بالمؤسسة,
Assembly Program,برنامج الطابور,
Correspondence Content,نص المراسلة,
Request Details,تفاصيل الطلب,
Request Replies,الردود على الطلب,
Assignment Period,فترة التعيين,
Health Details,التفاصيل الصحية,
Personal Information,البيانات الشخصية,
Identity and Contact,الهوية والتواصل,
Employment Details,بيانات التوظيف,
Guardian Details,بيانات ولي الأمر,
Guardian Name (from record),اسم ولي الأمر (من سجله),
Guardian Phone (from record),هاتف ولي الأمر (من سجله),
Class Section,الشعبة,
Action Reason,سبب الإجراء,
Correspondence Date,تاريخ المراسلة,
Stage Order,ترتيب المرحلة,
